Post #,Date,Platform,Content Type,Caption,Image URL,Notes
1,2026-06-19,Instagram,Image,"We built an entire marketing agency. Then ran it on ourselves before charging anyone a penny.

Website. Brand kit. CRM pipeline. Social content engine. Payment system. AI video agent. Comment reply bot.

All of it. Live. Before client #1.

Because if we wouldn't trust our own machine — why would you?

FORGE is live. forgeisagentic.tech

#AImarketing #LondonBusiness #MarketingAgency #AgenticAI #forgeisagentic",https://forgeisagentic.tech/api/og,POST NOW — origin story
1,2026-06-19,Facebook,Image,"We built an entire marketing agency. Then ran it on ourselves before charging anyone a penny.

Website. Brand kit. CRM pipeline. Social content engine. Payment system. AI video agent. Comment reply bot.

All of it. Live. Before client #1.

Because if we wouldn't trust our own machine — why would you?

FORGE is live. forgeisagentic.tech

#AImarketing #LondonBusiness #MarketingAgency #AgenticAI #forgeisagentic",https://forgeisagentic.tech/api/og,POST NOW — origin story
1,2026-06-19,LinkedIn,Image,"We built an entire marketing agency. Then ran it on ourselves before charging anyone a penny.

Website. Brand kit. CRM pipeline. Social content engine. Payment system. AI video agent. Comment reply bot.

All of it. Live. Before client #1.

Because if we wouldn't trust our own machine — why would you?

FORGE is live → forgeisagentic.tech

#AIMarketing #AgenticAI #MarketingAgency #LondonBusiness #Startups",https://forgeisagentic.tech/api/og,POST NOW — origin story
2,2026-06-24,Facebook,Text,"If a Londoner can't find you on Google, they called your competitor. Not exaggerating.

Here's what having no website actually costs a London tradesperson:

→ The average job lost to a competitor with a site: £300–£800
→ How many people Google a tradesperson before calling: 7 in 10
→ How many of those call someone with no online presence: almost none

We're not talking about a £5,000 agency website. We're talking about a clean, fast, professional site that tells people who you are, what you do, and how to book you.

FORGE builds that for £74.99. Deployed in under 10 minutes.

Is your business on Google right now? Drop a comment — we'll check for you.

#LondonTrades #Plumber #Electrician #Builder #SmallBusiness #LondonBusiness",,Text only — no image needed
3,2026-06-25,LinkedIn,Image,"Before we signed a single client, we deployed our entire stack on ourselves.

Here's what FORGE built in approximately 4 hours of agentic sessions:

✅ Live website (forgeisagentic.tech)
✅ PayPal payment system (one-time + subscription)
✅ Post-payment AI video agent (Tavus CVI)
✅ HubSpot CRM pipeline
✅ Canva brand kit (3 assets)
✅ Calendly booking system
✅ Supabase multi-tenant database
✅ AES-256-GCM encrypted OAuth token vault
✅ Autonomous comment reply engine (Claude Haiku)
✅ 5-platform social distribution layer

Equivalent cost from a traditional agency: £15,000–£25,000.

We didn't build FORGE because we thought we could. We built it to prove we could.

The agency is live. The machine runs.

→ forgeisagentic.tech

#AIAgency #AgenticAI #MarketingTech #LondonStartup #Anthropic #BuildInPublic",https://forgeisagentic.tech/api/og?type=deploy&time=00%3A09%3A47,Stack checklist graphic — use Canva or OG endpoint
4,2026-06-26,TikTok,Reel,"10 minutes. £74.99. Live website. 🤖

Most London tradespeople are losing jobs every week because they can't be found online.

FORGE fixes that.

→ forgeisagentic.tech

#AImarketing #WebsiteBuilder #LondonTrades #Tech #AgenticAI #SmallBusiness",,REEL — screen record deploy flow. See content pack for script.
5,2026-06-27,Instagram,Image,"This is what £624.99 looks like when an AI builds it in 4 hours.

Website ✅
Brand kit ✅
CRM pipeline ✅
Booking system ✅
Social content engine ✅
Comment reply bot ✅
Payment system ✅
AI video welcome agent ✅

We didn't outsource any of it. We didn't hire an agency. We ran our own machine on ourselves.

That's Package 5. That's what we sell to London tradespeople.

Link in bio → forgeisagentic.tech

#AIAgency #LondonMarketing #TechStartup #AgenticAI #BuildInPublic #forgeisagentic",https://forgeisagentic.tech/api/og?type=offer,Checklist graphic — OG offer type
6,2026-06-30,Facebook,Image,"A traditional agency quoted £18,000 for what we built in 4 hours.

Same deliverables:
→ Professional website
→ Brand identity
→ CRM setup
→ Social content calendar
→ Booking system

Their timeline: 6–8 weeks.
Our timeline: 4 hours.

We know because we built all of it for ourselves first — before we charged a single client.

FORGE exists because the old way of doing marketing is too slow and too expensive for a London tradesperson running a business on their own.

Package 1 starts at £74.99. See what's included → forgeisagentic.tech

#LondonMarketing #AIAgency #Tradesperson #Plumber #Electrician #ValueForMoney",https://forgeisagentic.tech/api/og?type=education,Side-by-side comparison — use Canva
7,2026-07-01,Instagram,Carousel,"7 AI agents. 1 command. Your entire digital presence — live.

SCOUT researches your business.
ATLAS builds your website.
PIXEL designs your brand.
WIRE builds your lead pipeline.
BOOK sets up your booking system.
SPARK writes your social content.
FORGE QAs everything before it goes live.

Swipe to see how each one works. →

Package 5 — £624.99 — forgeisagentic.tech

#AIAgents #AgenticAI #MarketingAutomation #LondonBusiness #WebDesign #forgeisagentic",,CAROUSEL — 6 slides. Create in Canva. See content pack for slide copy.
8,2026-07-02,LinkedIn,Text,"The full FORGE tech stack. Built in public.

Vercel (serverless hosting) → Single-page HTML, no framework, zero cold start issues
Anthropic Claude Sonnet 4.6 → The AI brain behind every agent
Anthropic Batch API → Async multi-client processing at scale
Supabase → Multi-tenant PostgreSQL database + AES-256-GCM token vault
PayPal → One-time orders + recurring subscription billing
Resend → Transactional email
Tavus CVI → Post-payment AI video welcome agent
HubSpot → CRM, pipeline management
Canva MCP → Automated brand asset creation
Calendly → Booking integration
RapidAPI (Google Maps) → Local footprint + GBP data extraction

Total external monthly cost at scale: under £200.
Revenue per client at Package 5: £624.99.

The margin is the point.

This is what an agentic marketing agency looks like when you build it properly.

#BuildInPublic #AgenticAI #TechStack #Anthropic #Supabase #Vercel #LondonStartup",,Text only — LinkedIn rewards long technical posts
