Date,Platform,Content Type,Pillar,Caption,Image Notes,Hashtags,Status
2026-06-23,Instagram,Image,Trust & Authority,"We built an entire marketing agency. Then ran it on ourselves before charging anyone a penny.

Website. Brand kit. CRM pipeline. Social content engine. Payment system. AI video agent. Comment reply bot.

All of it. Live. Before client #1.

Because if we wouldn't trust our own machine — why would you?

FORGE is live. forgeisagentic.tech","Split screen: terminal/code aesthetic left, forgeisagentic.tech screenshot right. FORGE logo centred top.","#AImarketing #LondonBusiness #MarketingAgency #AgenticAI #forgeisagentic",Draft
2026-06-24,Facebook,Text Post,Education,"If a Londoner can't find you on Google, they called your competitor. Not exaggerating.

Here's what having no website actually costs a London tradesperson:

→ The average job lost to a competitor with a site: £300–£800
→ How many people Google a tradesperson before calling: 7 in 10
→ How many of those call someone with no online presence: almost none

We're not talking about a £5,000 agency website. We're talking about a clean, fast, professional site that tells people who you are, what you do, and how to book you.

FORGE builds that for £74.99. Deployed in under 10 minutes.

Is your business on Google right now? Drop a comment — we'll check for you.","Text only — no image needed","#LondonTrades #Plumber #Electrician #Builder #SmallBusiness #LondonBusiness",Draft
2026-06-25,LinkedIn,Image,Trust & Authority,"Before we signed a single client, we deployed our entire stack on ourselves.

Here's what FORGE built in approximately 4 hours of agentic sessions:

✅ Live website (forgeisagentic.tech)
✅ PayPal payment system (one-time + subscription)
✅ Post-payment AI video agent (Tavus CVI)
✅ HubSpot CRM pipeline
✅ Canva brand kit (3 assets)
✅ Calendly booking system
✅ Supabase multi-tenant database
✅ AES-256-GCM encrypted OAuth token vault
✅ Autonomous comment reply engine (Claude Haiku)
✅ 5-platform social distribution layer

Equivalent cost from a traditional agency: £15,000–£25,000.

We didn't build FORGE because we thought we could. We built it to prove we could.

The agency is live. The machine runs.

→ forgeisagentic.tech","Dark checklist graphic. FORGE logo + website URL at bottom.","#AIAgency #AgenticAI #MarketingTech #LondonStartup #Anthropic #BuildInPublic",Draft
2026-06-26,TikTok,Reel,Behind the Machine,"10 minutes. £74.99. Live website. 🤖

Most London tradespeople are losing jobs every week because they can't be found online.

FORGE fixes that.

→ forgeisagentic.tech","Screen recording of deploy flow — checkout to live website. Fast-cut. Captions throughout.","#AImarketing #WebsiteBuilder #LondonTrades #Tech #AgenticAI #SmallBusiness",Draft
2026-06-27,Instagram,Image,Proof & Results,"This is what £624.99 looks like when an AI builds it in 4 hours.

Website ✅
Brand kit ✅
CRM pipeline ✅
Booking system ✅
Social content engine ✅
Comment reply bot ✅
Payment system ✅
AI video welcome agent ✅

We didn't outsource any of it. We didn't hire an agency. We ran our own machine on ourselves.

That's Package 5. That's what we sell to London tradespeople.

Link in bio → forgeisagentic.tech","Dark checklist graphic. Animated checkboxes. Bold headline: Built by FORGE. In 4 hours.","#AIAgency #LondonMarketing #TechStartup #AgenticAI #BuildInPublic #forgeisagentic",Draft
2026-06-30,Facebook,Image,Proof & Results,"A traditional agency quoted £18,000 for what we built in 4 hours.

Same deliverables:
→ Professional website
→ Brand identity
→ CRM setup
→ Social content calendar
→ Booking system

Their timeline: 6–8 weeks.
Our timeline: 4 hours.

We know because we built all of it for ourselves first — before we charged a single client.

FORGE exists because the old way of doing marketing is too slow and too expensive for a London tradesperson running a business on their own.

Package 1 starts at £74.99. See what's included → forgeisagentic.tech","Side-by-side comparison: Traditional Agency £18,000 8 weeks vs FORGE £624.99 4 hours","#LondonMarketing #AIAgency #Tradesperson #Plumber #Electrician #ValueForMoney",Draft
2026-07-01,Instagram,Carousel,Behind the Machine,"7 AI agents. 1 command. Your entire digital presence — live.

SCOUT researches your business.
ATLAS builds your website.
PIXEL designs your brand.
WIRE builds your lead pipeline.
BOOK sets up your booking system.
SPARK writes your social content.
FORGE QAs everything before it goes live.

Swipe to see how each one works. →

Package 5 — £624.99 — forgeisagentic.tech","6-slide carousel. Each slide: agent name in #0099FF on dark background. FORGE logo every slide.","#AIAgents #AgenticAI #MarketingAutomation #LondonBusiness #WebDesign #forgeisagentic",Draft
2026-07-02,LinkedIn,Text Post,Behind the Machine,"The full FORGE tech stack. Built in public.

Vercel (serverless hosting) → Single-page HTML, no framework, zero cold start issues
Anthropic Claude Sonnet 4.6 → The AI brain behind every agent
Anthropic Batch API → Async multi-client processing at scale
Supabase → Multi-tenant PostgreSQL database + AES-256-GCM token vault
PayPal → One-time orders + recurring subscription billing
Resend → Transactional email
Tavus CVI → Post-payment AI video welcome agent
HubSpot → CRM, pipeline management
Canva MCP → Automated brand asset creation
Calendly → Booking integration
RapidAPI (Google Maps) → Local footprint + GBP data extraction

Total external monthly cost at scale: under £200.
Revenue per client at Package 5: £624.99.

The margin is the point.

This is what an agentic marketing agency looks like when you build it properly.","Text only","#BuildInPublic #AgenticAI #TechStack #Anthropic #Supabase #Vercel #LondonStartup",Draft
2026-07-03,TikTok,Reel,Education,"3 reasons you're losing jobs and don't know it 👇

1. Not on Google
2. No clickable phone number
3. No visible reviews

FORGE fixes all three. From £74.99.

→ forgeisagentic.tech","Talking head OR text-on-screen. 3 pain points revealed one by one. Fast pace.","#LondonTrades #Plumber #Electrician #Builder #SmallBusiness #AIMarketing",Draft
2026-07-04,Facebook,Image,Direct Offer,"£74.99. A professional website for your trade business. Live today.

Not next week. Not after 6 calls with a web designer. Today.

Here's what you get with Package 1:

→ A clean, professional website built for your trade
→ Your services, location, phone number, and contact form
→ Deployed live on a fast hosting platform
→ Passes our full quality audit before it goes live
→ Yours to keep

That's it. No monthly fee. No ongoing contract. One payment.

We've built the same thing for our own agency. Same technology. Same speed.

If you're a London tradesperson without a working website, this is the starting point.

→ forgeisagentic.tech","Package 1 product card. Price prominent. Dark background, blue accent on price. Live today headline.","#LondonTrades #WebsiteDesign #TradesmanUK #Plumber #Electrician #Roofer #Builder",Draft
